name,id,lat,lon,capacity,number
"River Street , Clerkenwell",1,51.52916347,-0.109970527,19,10.0
"Phillimore Gardens, Kensington",2,51.49960695,-0.197574246,37,33.0
"Christopher Street, Liverpool Street",3,51.52128377,-0.084605692,32,13.0
"St. Chad's Street, King's Cross",4,51.53005939,-0.120973687,23,22.0
"Broadcasting House, Marylebone",6,51.51811784,-0.144228881,18,35.0
"Charlbert Street, St. John's Wood",7,51.53430039,-0.1680743,16,43.0
"Maida Vale, Maida Vale",8,51.529857,-0.18348604,39,87.0
"New Globe Walk, Bankside",9,51.5073853,-0.096440751,19,33.0
"Park Street, Bankside",10,51.50597426,-0.092754157,18,15.0
"Brunswick Square, Bloomsbury",11,51.52395143,-0.122502346,24,52.0
"Malet Street, Bloomsbury",12,51.52168078,-0.130431727,49,24.0
"Scala Street, Fitzrovia",13,51.51991453,-0.136039674,21,17.0
"Belgrove Street , King's Cross",14,51.52994371,-0.123616824,48,63.0
"Great Russell Street, Bloomsbury",15,51.51772703,-0.127854211,26,30.0
"Cartwright Gardens , Bloomsbury",16,51.52635795,-0.125979294,21,20.0
"Hatton Wall, Holborn",17,51.5216612,-0.109006325,26,32.0
"Drury Lane, Covent Garden",18,51.51477076,-0.12221963,27,55.0
"Taviton Street, Bloomsbury",19,51.52505093,-0.131161087,30,41.0
"Drummond Street , Euston",20,51.527326,-0.13605286,28,15.0
"Lansdowne Drive, Hackney Central",21,51.539834,-0.062806212,26,0.0
"Northington Street , Holborn",22,51.5222641,-0.114079481,19,30.0
"Red Lion Square, Holborn",23,51.51943538,-0.119123345,16,12.0
"British Museum, Bloomsbury",24,51.51908011,-0.124678402,35,53.0
"Doric Way , Somers Town",25,51.5288338,-0.132250369,50,29.0
"Ampton Street , Clerkenwell",26,51.52728093,-0.11829517,21,17.0
"Bouverie Street, Temple",27,51.51382102,-0.107927706,33,25.0
"Bolsover Street, Fitzrovia",28,51.52351808,-0.143613641,19,36.0
"Hereford Road, Bayswater",29,51.513735,-0.193487,22,51.0
"Windsor Terrace, Hoxton",30,51.52915444,-0.093421615,24,53.0
"Fanshaw Street, Hoxton",31,51.52953709,-0.083353323,36,47.0
"Leonard Circus , Shoreditch",32,51.52469624,-0.084439283,43,43.0
"Pancras Road, King's Cross",34,51.5341235,-0.129386874,16,24.0
"De Vere Gardens, Kensington",36,51.50173726,-0.184980612,28,45.0
"Penywern Road, Earl's Court",37,51.49159394,-0.192369256,17,70.0
"Abingdon Villas, Kensington",38,51.4973875,-0.197245586,17,34.0
"Shoreditch High Street, Shoreditch",39,51.5263778,-0.078130921,41,91.0
"Commercial Street, Shoreditch",40,51.52127071,-0.0755789,16,32.0
"Pindar Street, Liverpool Street",41,51.520955,-0.083493552,24,1.0
"Wenlock Road , Hoxton",42,51.53099181,-0.093903825,28,45.0
"Crawford Street, Marylebone",43,51.52026,-0.157183945,18,46.0
"Bruton Street, Mayfair",44,51.51073687,-0.144165239,21,17.0
"Boston Place, Marylebone",45,51.522511,-0.162298,26,17.0
"Nesham Street, Wapping",46,51.507131,-0.06691,16,34.0
"Warwick Avenue Station, Maida Vale",47,51.52334476,-0.183846408,19,74.0
"Godliman Street, St. Paul's",48,51.51248445,-0.099141408,25,22.0
"Curzon Street, Mayfair",49,51.50706909,-0.145904427,16,22.0
"East Road, Hoxton",50,51.52867339,-0.087459376,27,29.0
"Finsbury Library , Finsbury",51,51.52671796,-0.104298194,29,27.0
"Roscoe Street, St. Luke's",52,51.52295439,-0.094934859,18,64.0
"Grafton Street, Mayfair",53,51.5099923,-0.143495266,18,12.0
"Golden Lane, Barbican",54,51.52174785,-0.094475072,27,5.0
"Finsbury Circus, Liverpool Street",55,51.51707521,-0.086685542,33,28.0
"Paddington Street, Marylebone",56,51.52058381,-0.154701411,16,29.0
"Guilford Street , Bloomsbury",57,51.52334672,-0.120202614,32,33.0
"New Inn Yard, Shoreditch",58,51.52452699,-0.079248081,20,33.0
"Lisson Grove, St. John's Wood",60,51.52644828,-0.172190727,18,11.0
"Great Dover Street, The Borough",61,51.49738251,-0.089446947,33,60.0
"Cotton Garden Estate, Kennington",62,51.4907579,-0.106323685,24,33.0
"Murray Grove , Hoxton",63,51.53089041,-0.089782579,27,35.0
"William IV Street, Strand",64,51.50946212,-0.124749274,26,51.0
"Gower Place , Euston",65,51.52522753,-0.13518856,17,0.0
"Holborn Circus, Holborn",66,51.51795029,-0.108657431,40,24.0
"Hatton Garden, Holborn",67,51.51882555,-0.108028472,28,24.0
"Theobald's Road , Holborn",68,51.52059681,-0.116688468,26,20.0
"Euston Road, Euston",69,51.5262363,-0.134407652,24,25.0
"Calshot Street , King's Cross",70,51.53136059,-0.117069978,24,20.0
"Newgate Street , St. Paul's",71,51.5154186,-0.098850915,34,35.0
"Farringdon Lane, Clerkenwell",72,51.52352001,-0.108340165,16,21.0
"Old Street Station, St. Luke's",73,51.52548,-0.089659871,29,27.0
"Vauxhall Cross, Vauxhall",74,51.48591714,-0.124469948,17,88.0
"Torrens Street, Angel",75,51.53219984,-0.105480698,19,11.0
"Longford Street, The Regent's Park",76,51.52559505,-0.144083893,21,38.0
"Russell Square Station, Bloomsbury",77,51.52341837,-0.124121774,26,32.0
"Sadlers Sports Centre, Finsbury",78,51.52486887,-0.099489485,17,31.0
"Arundel Street, Temple",79,51.511726,-0.11385596,18,18.0
"Webber Street , Southwark",80,51.50069361,-0.102091246,45,40.0
"Great Titchfield Street, Fitzrovia",81,51.52025302,-0.141327271,19,36.0
"Chancery Lane, Holborn",82,51.514274,-0.111257,15,18.0
"Panton Street, West End",83,51.50963938,-0.131510949,21,132.0
"Breams Buildings, Holborn",84,51.51593725,-0.111778348,25,6.0
"Tanner Street, Bermondsey",85,51.50064702,-0.078600401,41,72.0
"Sancroft Street, Vauxhall",86,51.48947903,-0.115156562,24,20.0
"Devonshire Square, Liverpool Street",87,51.51646835,-0.079684557,16,7.0
"Bayley Street , Bloomsbury",88,51.51858757,-0.132053392,25,53.0
"Tavistock Place, Bloomsbury",89,51.5262503,-0.123509611,19,45.0
"Harrington Square 1, Camden Town",90,51.53301907,-0.139174593,27,23.0
"Walnut Tree Walk, Vauxhall",91,51.49368637,-0.111014912,20,26.0
"Borough Road, Elephant & Castle",92,51.49889832,-0.100440521,41,30.0
"Cloudesley Road, Angel",93,51.53440868,-0.109025404,37,45.0
"Bricklayers Arms, Borough",94,51.49506109,-0.085814489,28,70.0
"Aldersgate Street, Barbican",95,51.5208417,-0.097340162,15,45.0
"Falkirk Street, Hoxton",96,51.53095071,-0.078505384,26,36.0
"Gloucester Road (North), Kensington",97,51.49792478,-0.183834706,18,32.0
"Hampstead Road, Euston",98,51.52554222,-0.138231303,54,48.0
"Old Quebec Street, Marylebone",99,51.51457763,-0.158264483,16,90.0
"Albert Embankment, Vauxhall",100,51.49043573,-0.122806861,24,53.0
"Queen Street 1, Bank",101,51.51155322,-0.0929401,22,31.0
"Jewry Street, Aldgate",102,51.51340693,-0.076793375,17,23.0
"Vicarage Gate, Kensington",103,51.50472376,-0.192538767,18,31.0
"Crosswall, Tower",104,51.51159481,-0.077121322,34,67.0
"Westbourne Grove, Bayswater",105,51.51552971,-0.190240716,26,34.0
"Woodstock Street, Mayfair",106,51.51410514,-0.147301667,21,26.0
"Finsbury Leisure Centre, St. Luke's",107,51.52600832,-0.096317627,20,32.0
"Abbey Orchard Street, Westminster",108,51.49812559,-0.132102166,29,35.0
"Soho Square , Soho",109,51.51563144,-0.132328837,57,114.0
"Wellington Road, St. John's Wood",110,51.53304322,-0.172528678,17,24.0
"Park Lane , Hyde Park",111,51.5100172,-0.157275636,28,650.0
"Stonecutter Street, Holborn",112,51.51580998,-0.105270275,21,13.0
"Gloucester Road (Central), South Kensington",113,51.49646288,-0.183289032,19,33.0
"Park Road (Baker Street), The Regent's Park",114,51.52451738,-0.158963647,22,184.0
"Braham Street, Aldgate",115,51.51423368,-0.073537654,34,43.0
"Little Argyll Street, West End",116,51.51449962,-0.141423695,21,123.0
"Lollard Street, Vauxhall",117,51.49288067,-0.114934001,25,48.0
"Rochester Row, Westminster",118,51.49582705,-0.13547809,13,28.0
"Bath Street, St. Luke's",119,51.52589324,-0.090847761,18,40.0
"The Guildhall, Guildhall",120,51.51573534,-0.093080779,17,8.0
"Baker Street, Marylebone",121,51.51891348,-0.156166631,22,25.0
"Norton Folgate, Liverpool Street",122,51.52111369,-0.078869751,23,21.0
"St. John Street, Finsbury",123,51.52836014,-0.104724625,18,19.0
"Eaton Square, Belgravia",124,51.49654462,-0.150905245,20,17.0
"Borough High Street, The Borough",125,51.50069491,-0.094524319,21,49.0
"Museum of London, Barbican",126,51.51782144,-0.096496865,52,17.0
"Wood Street, Guildhall",127,51.51700801,-0.09388536,17,8.0
"Emperor's Gate, South Kensington",128,51.49536226,-0.185296516,22,45.0
"Golden Square, Soho",129,51.5118973,-0.137043852,18,47.0
"Tower Gardens , Tower",130,51.50950627,-0.075459482,24,226.0
"Eversholt Street , Camden Town",131,51.53300545,-0.136792671,16,37.0
"Bethnal Green Road, Shoreditch",132,51.52364804,-0.074754872,38,97.0
"Derry Street, Kensington",133,51.50136494,-0.191462381,18,38.0
"Wapping High Street, Wapping",134,51.504904,-0.06797,20,73.0
"Clerkenwell Green, Clerkenwell",135,51.52326004,-0.104708922,21,51.0
"Queen Victoria Street, St. Paul's",136,51.51196176,-0.097441687,32,23.0
"Green Street, Mayfair",138,51.51227622,-0.157436972,19,127.0
"Lambeth Road, Vauxhall",139,51.49488108,-0.117974901,18,29.0
"Finsbury Square , Moorgate",140,51.52096262,-0.085634242,33,34.0
"Chapel Place, Marylebone",141,51.51530805,-0.147203711,29,34.0
"West Cromwell Road, Earl's Court",142,51.49372451,-0.198286569,24,33.0
"Pont Street, Knightsbridge",143,51.4968865,-0.161203828,24,70.0
"Kennington Cross, Kennington",144,51.48894022,-0.111435796,47,42.0
"Ilchester Place, Kensington",145,51.50074359,-0.202759212,24,12.0
"Vauxhall Bridge , Pimlico",146,51.48836528,-0.129361842,35,21.0
"Portugal Street, Holborn",147,51.51494305,-0.11614642,16,0.0
"Tachbrook Street, Victoria",148,51.49211134,-0.138364847,16,43.0
"Kennington Road Post Office, Oval",149,51.48478899,-0.110683213,18,53.0
"Holy Trinity Brompton, Knightsbridge",150,51.49705603,-0.168917077,28,31.0
"Chepstow Villas, Notting Hill",151,51.51213691,-0.201554966,26,42.0
"Hampton Street, Walworth",152,51.49217002,-0.101536865,21,40.0
"Bayswater Road, Hyde Park",153,51.511933,-0.174411,27,250.0
"Waterloo Station 3, Waterloo",154,51.50379168,-0.11282408,35,45.0
"Lexham Gardens, Kensington",155,51.49586666,-0.191933711,19,55.0
"New Kent Road, The Borough",156,51.49443626,-0.092921165,33,41.0
"Wright's Lane, Kensington",157,51.50039792,-0.193068385,37,66.0
"Trebovir Road, Earl's Court",158,51.49085368,-0.196170309,18,31.0
"Waterloo Place, St. James's",160,51.50663341,-0.131773845,20,128.0
"Guildhouse Street, Victoria",161,51.49234577,-0.141334487,16,32.0
"Southampton Place, Holborn",162,51.51760685,-0.121328408,20,23.0
"Sloane Avenue, Knightsbridge",163,51.4931848,-0.167894973,27,38.0
"Cleveland Gardens, Bayswater",164,51.515607,-0.183118788,16,35.0
"Orsett Terrace, Bayswater",165,51.517932,-0.183716959,15,13.0
"Seville Street, Knightsbridge",166,51.50185512,-0.159237081,27,48.0
"Eccleston Place, Victoria",167,51.49395092,-0.147624377,19,36.0
"Argyll Road, Kensington",168,51.50040123,-0.195455928,19,17.0
"Porchester Place, Paddington",169,51.51474612,-0.165164288,18,87.0
"Hardwick Street, Clerkenwell",170,51.52784273,-0.108068155,30,9.0
"Collingham Gardens, Earl's Court",171,51.4916156,-0.186753859,14,28.0
"Sumner Place, South Kensington",172,51.49121192,-0.173715911,19,21.0
"Waterloo Road, South Bank",173,51.50486,-0.113001,15,37.0
"Strand, Strand",174,51.512582,-0.1150573,35,5.0
"Worship Street, Shoreditch",175,51.521668,-0.079608554,51,41.0
"Gloucester Terrace, Bayswater",176,51.51791921,-0.188098863,23,21.0
"Ashley Place, Victoria",177,51.49616092,-0.140947636,25,37.0
"Warwick Square, Pimlico",178,51.48985626,-0.141923621,19,51.0
"North Audley Street, Mayfair",180,51.5129118,-0.153645496,17,58.0
"Belgrave Square, Belgravia",181,51.49941247,-0.152317537,21,24.0
"Bell Street , Marylebone",182,51.52202903,-0.165842551,18,23.0
"Riverlight North, Nine Elms",183,51.482362,-0.13612398,24,67.0
"Portland Place, Marylebone",184,51.52071513,-0.14521173,34,30.0
"Alderney Street, Pimlico",185,51.48805753,-0.140741432,14,72.0
"South Wharf Road, Paddington",186,51.51733558,-0.175810943,16,24.0
"Queen's Gate (South), South Kensington",187,51.49247977,-0.178433004,25,35.0
"Nutford Place, Marylebone",188,51.5165179,-0.164393768,18,38.0
"Claremont Square, Angel",189,51.53166681,-0.109914711,18,12.0
"Rampayne Street, Pimlico",190,51.48997562,-0.132845681,21,36.0
"Hyde Park Corner, Hyde Park",191,51.50311799,-0.153520935,36,1488.0
"Wardour Street, Soho",192,51.51251523,-0.133201961,16,64.0
"Bankside Mix, Bankside",193,51.50581776,-0.100186337,60,40.0
"Hop Exchange, The Borough",194,51.50462759,-0.091773776,56,125.0
"Milroy Walk, South Bank",195,51.50724437,-0.106237501,30,26.0
"Union Street, The Borough",196,51.50368837,-0.098497684,17,32.0
"Stamford Street, South Bank",197,51.50556905,-0.111606696,27,31.0
"Great Tower Street, Monument",199,51.51048489,-0.082989638,24,58.0
"LMU Commercial Road, Whitechapel",200,51.51492456,-0.066078037,14,48.0
"Dorset Square, Marylebone",201,51.5225965,-0.161113413,16,33.0
"Leman Street, Aldgate",202,51.51236389,-0.06954201,37,81.0
"West Smithfield Rotunda, Farringdon",203,51.51821864,-0.100791005,15,25.0
"Margery Street, Clerkenwell",204,51.52659961,-0.112432615,19,20.0
"New Road 1 , Whitechapel",206,51.518154,-0.062697,36,50.0
"Grosvenor Crescent, Belgravia",207,51.50135267,-0.153194766,18,28.0
"Mallory Street, Marylebone",208,51.52505151,-0.166304359,20,20.0
"Denyer Street, Knightsbridge",209,51.49358391,-0.165101392,30,38.0
"Hinde Street, Marylebone",210,51.51681444,-0.151926305,21,45.0
"Cadogan Place, Knightsbridge",211,51.49464523,-0.158105512,34,47.0
"Campden Hill Road, Notting Hill",212,51.50658458,-0.199004026,17,17.0
"Wellington Arch, Hyde Park",213,51.50274025,-0.149569201,36,391.0
"Endsleigh Gardens, Euston",214,51.52683806,-0.130504336,32,26.0
"Moorfields, Moorgate",215,51.51906932,-0.088285377,54,14.0
"Old Brompton Road, South Kensington",216,51.49094565,-0.181190899,30,46.0
"Wormwood Street, Liverpool Street",217,51.51615461,-0.082422399,16,46.0
"St. Luke's Church, Chelsea",218,51.48971651,-0.170194408,20,21.0
"Bramham Gardens, Earl's Court",219,51.49016361,-0.19039362,29,71.0
"Chelsea Green, Chelsea",220,51.49066456,-0.166485083,27,29.0
"Horseferry Road, Westminster",221,51.49481649,-0.13045856,16,31.0
"Knightsbridge, Hyde Park",222,51.50275704,-0.155349725,43,92.0
"Rodney Road , Walworth",223,51.49148474,-0.090220911,24,60.0
"Queensway, Kensington Gardens",224,51.51031,-0.18740235,17,145.0
"Notting Hill Gate Station, Notting Hill",225,51.50935342,-0.196422,30,32.0
"Charles II Street, West End",226,51.50844614,-0.131961389,24,72.0
"Great Percy Street, Clerkenwell",227,51.52891573,-0.115480888,23,31.0
"St. James's Square, St. James's",228,51.50742485,-0.134621209,40,78.0
"Whitehall Place, Strand",229,51.50654321,-0.123179697,46,181.0
"Poured Lines, Bankside",230,51.50669284,-0.103137426,31,29.0
"Queen's Gate (Central), South Kensington",231,51.49396755,-0.17873226,31,34.0
"Carey Street, Holborn",232,51.51501025,-0.112753217,16,8.0
"Pall Mall East, West End",233,51.50777049,-0.130699733,22,111.0
"Liverpool Road (N1 Centre), Angel",234,51.53450449,-0.106992706,24,40.0
"Kennington Road  , Vauxhall",235,51.49571828,-0.110889274,36,42.0
"Fashion Street, Whitechapel",236,51.51838043,-0.073438925,30,17.0
"Dock Street, Wapping",237,51.5097860151,-0.0681619805156,30,45.0
"Frampton Street, Paddington",238,51.5233534,-0.175116099,32,40.0
"Warren Street Station, Euston",239,51.52443845,-0.138019439,26,59.0
"Beaumont Street, Marylebone",242,51.52200801,-0.151359288,23,25.0
"Gloucester Street, Pimlico",243,51.49096258,-0.139625122,25,65.0
"Earnshaw Street , Covent Garden",244,51.51611887,-0.128585022,18,43.0
"Grosvenor Road, Pimlico",245,51.4853572,-0.142207481,29,15.0
"Berry Street, Clerkenwell",246,51.52285301,-0.099994052,41,29.0
"St. John's Wood Church, The Regent's Park",247,51.530529,-0.167515,50,58.0
"Triangle Car Park, Hyde Park",248,51.50645179,-0.170279555,27,602.0
"Harper Road, The Borough",249,51.49859784,-0.096191134,42,28.0
"Royal Avenue 1, Chelsea",250,51.489932,-0.162727,10,30.0
"Brushfield Street, Liverpool Street",251,51.518908,-0.079249,34,89.0
"Jubilee Gardens, South Bank",252,51.5046364,-0.116542278,30,297.0
"Shoreditch Park, Hoxton",253,51.53404294,-0.086379717,30,84.0
"Chadwell Street, Angel",254,51.53051587,-0.106408455,18,32.0
"Clifton Road, Maida Vale",255,51.52557531,-0.179592915,22,37.0
"Houghton Street, Strand",256,51.51362054,-0.116764211,15,8.0
"Westminster University, Marylebone",257,51.52248185,-0.154907218,16,32.0
"Kensington Gore, Knightsbridge",258,51.50143293,-0.178656971,23,23.0
"Bourne Street, Belgravia",259,51.490959,-0.1532331,16,36.0
"Broadwick Street, Soho",260,51.5136846,-0.135580879,18,51.0
"Princes Square, Bayswater",261,51.5134891,-0.191351186,16,30.0
"LSBU (Borough Road), Elephant & Castle",262,51.49874469,-0.103132904,35,58.0
"St. Mary Axe, Aldgate",263,51.51422502,-0.080660083,21,12.0
"Tysoe Street, Clerkenwell",264,51.52644342,-0.109256828,20,38.0
"Southwick Street, Paddington",265,51.51595344,-0.169249375,17,49.0
"Queen's Gate (North), Kensington",266,51.50102668,-0.180246101,41,36.0
"Regency Street, Westminster",267,51.49206037,-0.132224622,22,46.0
"Empire Square, The Borough",269,51.50082346,-0.089740764,46,46.0
"Kennington Lane Rail Bridge, Vauxhall",270,51.4863434,-0.122492418,31,53.0
"London Zoo,  The Regent's Park",271,51.53583617,-0.156285395,32,173.0
"Baylis Road, Waterloo",272,51.50144456,-0.110699309,22,66.0
